annee;dps_NAF_C20_C21;dps_NAF_C26;dps_NAF_C29;dps_NAF_C30;dps_NAF_C22;dps_NAF_C25;dps_NAF_C24;dps_NAF_C19;dps_NAF_C13_C14_C15;dps_NAF_C32;dps_NAF_C10;dps_NAF_C33;dps_NAF_J62;dps_NAF_M71;dps_NAF_G;dps_NAF_M70;dps_NAF_J61;dps_NAF_K;dps_NAF_M72;dps_NAF_S;dps_NAF_A_F
2009;15,7;16,1;10,4;7,4;5,3;3,6;0;0;2,5;9,1;0;0;9,6;8,3;0;0;1,3;1,2;0,4;7,3;1,9
2010;14,5;14,8;10,8;6,7;4,9;3,4;0;0;2,3;10,3;0;0;9,8;8,9;0;0;1,6;1,6;0,3;8,1;2
2011;12,5;15,3;10,1;5,1;6,1;3,4;0;0;1,9;9,4;0;0,4;10,6;9,6;0;0;1,5;1,7;0,2;10,2;1,9
2012;13;15;8,4;7;4,8;3,6;0;0;1,5;9,8;0;0;10,9;9,4;0;0;1,5;1,6;3;8,7;1,9
2013;13,6;15,1;8;7,2;5,1;3,5;0;3;0,5;7,3;0;0;11,7;10,1;4,2;0;1,4;1,4;1,4;4,3;2
2014;13,2;14,45;7,8;7,1;5,1;3,3;2,7;3;0,4;4,9;0;0;11,2;10,8;4,7;1,9;1,2;1,5;1,8;2,6;2,2
2015;11,2;14,5;8,9;6,8;6;3,2;3,3;1,8;0,5;5,7;0;0;12;6,3;5,1;1,4;1,9;1,2;4,1;3,9;2,2
2016;13,5;14,5;9,7;7;5,1;3,6;3,4;2,4;0,5;4,1;2,2;0;11,3;6,1;2,4;1,8;1,6;1,7;3,8;3,1;2,4
2017;12,9;14,1;8,8;7,5;5,2;3,8;3,2;2,4;0,4;3,4;2,3;0;12,2;6,6;2,4;1,8;1,7;1,5;4,3;3,2;2,4
2018;12,2;14,2;9;7,4;5,1;4,1;2,8;2,4;0,5;3,5;2,2;0;13,5;6,8;4,6;1,8;1,7;1,8;4,6;2,3;2,4
2019;12,1;14,9;8,5;8;4,4;4,1;2,7;2,5;0,4;3,7;2,2;0;13,2;6,6;2;2;0,9;1,7;4,8;3;2,3
2020;12,2;15,5;7,2;7,4;4,1;4,1;2,4;2,5;0,4;3,6;2,2;0;14,2;7,6;1,9;2;0,8;1,6;5,3;2,9;2,3
2021;11,9;15,6;6,8;7,1;4,7;4,1;2,3;2,4;0,4;3,6;2,2;0;14,8;7,8;1,8;2,1;0,8;1,8;4,7;2,6;2,5
