annee;20_21;26;29;30;22;25;24;19;13_14_15;32;10;33;62;71;45_46_47;61;64_65_66;70;72;94_95_96;01_02_03_41_42_43;TOTAL;ETI_beneficiaire_nbr;ETI_dps_declare;ETI_CIR;GE_beneficaire_nbr;GE_dps_declare;GE_CIR;beneficiaire_CIR_nbr
2009;13.1;17.2;6.7;6.5;5.8;4.1;0;0;2.6;9.7;0;0;11.3;9.3;0;1.2;1.4;0;0.5;8.8;2.1;4880;;;;;;;12862
2010;12.2;15.8;7.5;6.2;5.2;3.8;0;0;2.6;10.8;0;0;11.1;9.9;0;1.4;1.8;0;0.3;9.3;2.2;5402;;;;;;;14287
2011;11.2;16.2;6.9;4.9;5.8;3.7;0;0;2.1;9.9;0;0.5;11.7;10.4;0;1.3;1.9;0;0.3;11.2;2;5381;;;;;;;16608
2012;10.8;15.8;6.5;6.3;5.1;3.9;0;0;1.7;10.2;0;0;11.9;9.9;0;1.3;1.7;0;3.3;9.6;2;5699;;;;;;;16854
2013;12;16;6;6.4;5.5;3.7;0;2.8;0.5;7.9;0;0;12.6;10.6;4.6;1.2;1.5;0;1.5;4.9;2.2;5846;;;;;;;18601
2014;11.47;15.3;5.6;6.3;5.5;3.6;2.9;2.7;0.5;5.3;0;0;12.1;11.54;5.1;1.1;1.6;2.1;1.9;2.9;2.4;5829;;;;;;;16537
2015;10.2;15;6.8;6.1;5.6;3.4;3.5;3.5;0.5;6.2;0;0;13;6.9;5.6;1.9;1.2;1.5;4.4;3.9;2.4;6041;2658;5593;1679;589;11079;2835;16524
2016;11.9;14.8;7.8;6.5;5.5;3.9;3.6;2.3;0.5;4.4;2.3;0;12.1;6.6;2.6;1.7;1.8;1.9;4.1;3.3;2.6;6168;2451;5645;1694;549;11286;2933;15636
2017;11.3;14.6;6.9;6.7;5.6;4.1;3.4;2.3;0.5;3.7;2.4;0;13.1;7;2.6;1.7;1.7;1.9;4.6;3.4;2.6;6388;2382;5754;1727;522;11540;2986;15967
2018;10.7;14.6;7.4;6.5;5.4;4.3;2.9;2.3;0.5;3.8;2.4;0;14.4;7.3;2.2;1.6;1.9;1.9;4.9;2.5;2.6;6585;2350;6048;1815;494;11500;2991;15924
2019;10.7;15;7.3;7;4.7;4.3;2.9;2.4;0.5;3.9;2.3;0;14.1;7;2.1;1;1.8;2.1;5.2;3.2;2.5;6799;2273;6172;1853;482;11606;3035;16259
2020;10.8;15.5;6.6;6.8;4.3;4.3;2.5;2.4;0.4;3.8;2.3;0;14.9;8;1.9;0.8;1.7;2.1;5.5;3.1;2.4;6585;2240;5947;1785;473;10719;2895;16334
2021;11.1;15.5;6.4;6.7;4.8;4.2;2.4;2.3;0.4;3.7;2.3;0;15.3;8;1.9;0.8;1.9;2.2;4.9;2.7;2.6;6859;2211;6098;1831;465;10501;2908;16341
